step,state,next_state,action,reward,td_error,suddenness,goal_relevance,conduciveness,power,q_values_json
118,P,E,frwd,-10,-2.0929593158707216,0.0,1.0,0.0,0.0,"{""frwd"": -9.996090178951418}"
119,E,E,frwd,-10,-0.011126233612539593,0.0,0.011126233612539593,0.4944368831937302,0.0,"{""frwd"": -9.996090178951418}"
120,S,S1,,-1,-0.011126233612539593,0.0,0.0,0.0,0.0,"{""frwd"": -17.179882607081346}"
121,S1,P,frwd,-5,-1.001209970983887,0.28125,1.0,0.0,0.0,"{""frwd"": -18.970519949293685}"
122,P,E,frwd,-10,-1.4680756041848915,0.0,1.0,0.0,0.0,"{""frwd"": -9.997263125265992}"
123,E,E,frwd,-10,-0.008105059033711726,0.0,0.008105059033711726,0.49594747048314414,0.0,"{""frwd"": -9.997263125265992}"
124,S,S1,,-1,-0.008105059033711726,0.0,0.0,0.0,0.0,"{""frwd"": -18.64795821126624}"
125,S1,P,frwd,-5,-1.0972273928186418,0.2727272727272727,1.0,0.0,0.0,"{""frwd"": -18.9786250083274}"
126,P,E,frwd,-10,-1.0298412888685256,0.0,1.0,0.0,0.0,"{""frwd"": -9.998084187686194}"
127,E,E,frwd,-10,-0.005895228177052303,0.0,0.005895228177052303,0.4970523859114738,0.0,"{""frwd"": -9.998084187686194}"
128,S,S1,,-1,-0.005895228177052303,0.0,0.0,0.0,0.0,"{""frwd"": -19.677799500134764}"
129,S1,P,frwd,-5,-1.046116322967551,0.2647058823529411,1.0,0.0,0.0,"{""frwd"": -18.98452023650445}"
130,P,E,frwd,-10,-0.7224806138157724,0.0,0.7224806138157724,0.13875969309211378,0.0,"{""frwd"": -9.998658931380335}"
131,E,E,frwd,-10,-0.004281840521355917,0.0,0.004281840521355917,0.49785907973932203,0.0,"{""frwd"": -9.998658931380335}"
132,S,S1,,-1,-0.004281840521355917,0.0,0.0,0.0,0.0,"{""frwd"": -20.400280113950537}"
133,S1,P,frwd,-5,-0.9273511918075442,0.2571428571428571,0.9273511918075442,0.03632440409622789,0.0,"{""frwd"": -18.988802077025806}"
134,P,E,frwd,-10,-0.5068925266118072,0.0,0.5068925266118072,0.24655373669409641,0.0,"{""frwd"": -9.999061251966236}"
135,E,E,frwd,-10,-0.0031059149231417392,0.0,0.0031059149231417392,0.49844704253842914,0.0,"{""frwd"": -9.999061251966236}"
136,S,S1,,-1,-0.0031059149231417392,0.0,0.0,0.0,0.0,"{""frwd"": -20.907172640562344}"
137,S1,P,frwd,-5,-0.7860068164504678,0.25,0.7860068164504678,0.10699659177476611,0.0,"{""frwd"": -18.99190799194895}"
138,P,E,frwd,-10,-0.35566336565751333,0.0,0.35566336565751333,0.32216831717124333,0.0,"{""frwd"": -9.999342876376366}"
139,E,E,frwd,-10,-0.0022501790369346963,0.0,0.0022501790369346963,0.49887491048153265,0.0,"{""frwd"": -9.999342876376366}"
140,S,S1,,-1,-0.0022501790369346963,0.0,0.0,0.0,0.0,"{""frwd"": -21.262836006219857}"
141,S1,P,frwd,-5,-0.6462338802428566,0.2432432432432432,0.6462338802428566,0.17688305987857172,0.0,"{""frwd"": -18.994158170985884}"
142,P,E,frwd,-10,-0.24957190430023138,0.0,0.24957190430023138,0.3752140478498843,0.0,"{""frwd"": -9.999540013463456}"
143,E,E,frwd,-10,-0.0016283523393678223,0.0,0.0016283523393678223,0.49918582383031607,0.0,"{""frwd"": -9.999540013463456}"
144,S,S1,,-1,-0.0016283523393678223,0.0,0.0,0.0,0.0,"{""frwd"": -21.51240791052009}"
145,S1,P,frwd,-5,-0.5197481303310624,0.23684210526315785,0.5197481303310624,0.2401259348344688,0.0,"{""frwd"": -18.99578652332525}"
146,P,E,frwd,-10,-0.1751399881417907,0.0,0.1751399881417907,0.41243000592910467,0.0,"{""frwd"": -9.99967800942442}"
147,E,E,frwd,-10,-0.0011771055470184422,0.0,0.0011771055470184422,0.4994114472264908,0.0,"{""frwd"": -9.99967800942442}"
148,S,S1,,-1,-0.0011771055470184422,0.0,0.0,0.0,0.0,"{""frwd"": -21.68754789866188}"
149,S1,P,frwd,-5,-0.41111148803002634,0.23076923076923073,0.41111148803002634,0.2944442559849868,0.0,"{""frwd"": -18.99696362887227}"
150,P,E,frwd,-10,-0.12291581019694887,0.0,0.12291581019694887,0.43854209490152557,0.0,"{""frwd"": -9.999774606597093}"
151,E,E,frwd,-10,-0.0008500551195350425,0.0,0.0008500551195350425,0.49957497244023247,0.0,"{""frwd"": -9.999774606597093}"
152,S,S1,,-1,-0.0008500551195350425,0.0,0.0,0.0,0.0,"{""frwd"": -21.81046370885883}"
153,S1,G,frwd,10,-0.32096531037419457,0.775,0.32096531037419457,0.33951734481290274,0.0,"{""frwd"": 9.59646393}"
154,G,G,frwd,10,12.13418437375765,0.0,1.0,1.0,0.0,"{""frwd"": 9.59646393}"
155,S,S1,,-1,12.13418437375765,0.0,0.0,0.0,0.0,"{""frwd"": -9.67627933510118}"
156,S1,P,frwd,-5,3.051554063652629,0.24390243902439024,1.0,1.0,0.0,"{""frwd"": -18.997813683991804}"
157,P,E,frwd,-10,-3.7265258941474335,0.0,1.0,0.0,0.0,"{""frwd"": -9.999842224617964}"
158,E,E,frwd,-10,-0.0006132954493086373,0.0,0.0006132954493086373,0.49969335227534567,0.0,"{""frwd"": -9.999842224617964}"
159,S,S1,,-1,-0.0006132954493086373,0.0,0.0,0.0,0.0,"{""frwd"": -13.402805229248614}"
160,S1,P,frwd,-5,1.1299258531370333,0.23809523809523814,1.0,1.0,0.0,"{""frwd"": -18.998426979441113}"
161,P,E,frwd,-10,-2.608733715674517,0.0,1.0,0.0,0.0,"{""frwd"": -9.999889557232574}"
162,E,E,frwd,-10,-0.0004420866204611684,0.0,0.0004420866204611684,0.4997789566897694,0.0,"{""frwd"": -9.999889557232574}"
