step,state,next_state,action,reward,td_error,suddenness,goal_relevance,conduciveness,power,q_values_json
134,S,S1,,-1.0,-0.0022501790369346963,0.0,0.0,0.0,0.0,"{""frwd"": -22.044568406761105}"
135,S1,P,frwd,-5.0,-0.07393206841288914,0.0,0.0,0.0,0.0,"{""frwd"": -18.994158170985884}"
136,P,E,frwd,-10.0,-0.015052184137856982,0.0,0.0,0.0,0.0,"{""frwd"": -9.999540013463456}"
137,E,E,frwd,-10.0,-0.0016283523393678223,0.0,0.0,0.0,0.0,"{""frwd"": -9.999540013463456}"
138,S,S1,,-1.0,-0.0016283523393678223,0.0,0.0,0.0,0.0,"{""frwd"": -22.059620590898962}"
139,S1,P,frwd,-5.0,-0.05581653760624334,0.0,0.0,0.0,0.0,"{""frwd"": -18.99578652332525}"
140,P,E,frwd,-10.0,-0.010976184028128699,0.0,0.0,0.0,0.0,"{""frwd"": -9.99967800942442}"
141,E,E,frwd,-10.0,-0.0011771055470184422,0.0,0.0,0.0,0.0,"{""frwd"": -9.99967800942442}"
142,S,S1,,-1.0,-0.0011771055470184422,0.0,0.0,0.0,0.0,"{""frwd"": -22.07059677492709}"
143,S1,P,frwd,-5.0,-0.04203514601196438,0.0,0.0,0.0,0.0,"{""frwd"": -18.99696362887227}"
144,P,E,frwd,-10.0,-0.008001147317385814,0.0,0.0,0.0,0.0,"{""frwd"": -9.999774606597093}"
145,E,E,frwd,-10.0,-0.0008500551195350425,0.0,0.0,0.0,0.0,"{""frwd"": -9.999774606597093}"
146,S,S1,,-1.0,-0.0008500551195350425,0.0,0.0,0.0,0.0,"{""frwd"": -22.078597922244477}"
147,S1,P,frwd,-5.0,-0.03158491198406921,0.0,0.0,0.0,0.0,"{""frwd"": -18.997813683991804}"
148,P,E,frwd,-10.0,-0.005830318004444735,0.0,0.0,0.0,0.0,"{""frwd"": -9.999842224617964}"
149,E,E,frwd,-10.0,-0.0006132954493086373,0.0,0.0,0.0,0.0,"{""frwd"": -9.999842224617964}"
