step,state,next_state,action,reward,td_error,suddenness,goal_relevance,conduciveness,power,q_values_json
102,S,S1,,-1,8.55110607485159,0.0,0.0,0.0,0.0,"{""frwd"": -2.011421841320381}"
103,S1,P,frwd,-5,2.174971393111868,0.2592592592592593,1.0,1.0,0.0,"{""frwd"": -18.92328543540244}"
104,P,E,frwd,-10,-6.005860515162545,0.0,1.0,0.0,0.0,"{""frwd"": -9.992020773370239}"
105,E,E,frwd,-10,-0.020859978189232107,0.0,0.020859978189232107,0.48957001090538393,0.0,"{""frwd"": -9.992020773370239}"
106,S,S1,,-1,-0.020859978189232107,0.0,0.0,0.0,0.0,"{""frwd"": -8.017282356482927}"
107,S1,P,frwd,-5,-0.0991023639155797,0.25,0.0991023639155797,0.45044881804221015,0.0,"{""frwd"": -18.944145413591674}"
108,P,E,frwd,-10,-4.209734554724873,0.0,1.0,0.0,0.0,"{""frwd"": -9.994414541359168}"
109,E,E,frwd,-10,-0.015248302089473142,0.0,0.015248302089473142,0.49237584895526343,0.0,"{""frwd"": -9.994414541359168}"
110,S,S1,,-1,-0.015248302089473142,0.0,0.0,0.0,0.0,"{""frwd"": -12.2270169112078}"
111,S1,G,frwd,10,-1.2059999845166218,0.7586206896551724,1.0,0.0,0.0,"{""frwd"": 9.176457000000001}"
112,G,G,frwd,10,9.14574846336234,0.0,1.0,1.0,0.0,"{""frwd"": 9.176457000000001}"
113,S,S1,,-1,9.14574846336234,0.0,0.0,0.0,0.0,"{""frwd"": -3.08126844784546}"
114,S1,P,frwd,-5,1.625152095946197,0.2666666666666667,1.0,1.0,0.0,"{""frwd"": -18.959393715681145}"
115,P,E,frwd,-10,-5.694655768880271,0.0,1.0,0.0,0.0,"{""frwd"": -9.996090178951418}"
116,E,E,frwd,-10,-0.011126233612539593,0.0,0.011126233612539593,0.4944368831937302,0.0,"{""frwd"": -9.996090178951418}"
117,S,S1,,-1,-0.011126233612539593,0.0,0.0,0.0,0.0,"{""frwd"": -8.77592421672573}"
118,S1,P,frwd,-5,-0.3999505904353349,0.25806451612903225,0.3999505904353349,0.30002470478233256,0.0,"{""frwd"": -18.970519949293685}"
119,P,E,frwd,-10,-3.989263121291576,0.0,1.0,0.0,0.0,"{""frwd"": -9.997263125265992}"
120,E,E,frwd,-10,-0.008105059033711726,0.0,0.008105059033711726,0.49594747048314414,0.0,"{""frwd"": -9.997263125265992}"
121,S,S1,,-1,-0.008105059033711726,0.0,0.0,0.0,0.0,"{""frwd"": -12.765187338017306}"
122,S1,G,frwd,10,-1.3570664560534602,0.75,1.0,0.0,0.0,"{""frwd"": 9.4235199}"
123,G,G,frwd,10,9.373906574405192,0.0,1.0,1.0,0.0,"{""frwd"": 9.4235199}"
124,S,S1,,-1,9.373906574405192,0.0,0.0,0.0,0.0,"{""frwd"": -3.391280763612114}"
125,S1,P,frwd,-5,1.5810082558519796,0.2727272727272727,1.0,1.0,0.0,"{""frwd"": -18.9786250083274}"
126,P,E,frwd,-10,-5.606844523164764,0.0,1.0,0.0,0.0,"{""frwd"": -9.998084187686194}"
127,E,E,frwd,-10,-0.005895228177052303,0.0,0.005895228177052303,0.4970523859114738,0.0,"{""frwd"": -9.998084187686194}"
128,S,S1,,-1,-0.005895228177052303,0.0,0.0,0.0,0.0,"{""frwd"": -8.998125286776878}"
129,S1,P,frwd,-5,-0.4071422421581006,0.2647058823529411,0.4071422421581006,0.2964288789209497,0.0,"{""frwd"": -18.98452023650445}"
130,P,E,frwd,-10,-3.926382877823138,0.0,1.0,0.0,0.0,"{""frwd"": -9.998658931380335}"
131,E,E,frwd,-10,-0.004281840521355917,0.0,0.004281840521355917,0.49785907973932203,0.0,"{""frwd"": -9.998658931380335}"
132,S,S1,,-1,-0.004281840521355917,0.0,0.0,0.0,0.0,"{""frwd"": -12.924508164600017}"
133,S1,P,frwd,-5,-1.345122946522918,0.2571428571428571,1.0,0.0,0.0,"{""frwd"": -18.988802077025806}"
134,P,E,frwd,-10,-2.749624111416963,0.0,1.0,0.0,0.0,"{""frwd"": -9.999061251966236}"
135,E,E,frwd,-10,-0.0031059149231417392,0.0,0.0031059149231417392,0.49844704253842914,0.0,"{""frwd"": -9.999061251966236}"
136,S,S1,,-1,-0.0031059149231417392,0.0,0.0,0.0,0.0,"{""frwd"": -15.67413227601698}"
137,S1,P,frwd,-5,-1.6839845726486222,0.25,1.0,0.0,0.0,"{""frwd"": -18.99190799194895}"
138,P,E,frwd,-10,-1.9255754750211223,0.0,1.0,0.0,0.0,"{""frwd"": -9.999342876376366}"
139,E,E,frwd,-10,-0.0022501790369346963,0.0,0.0022501790369346963,0.49887491048153265,0.0,"{""frwd"": -9.999342876376366}"
140,S,S1,,-1,-0.0022501790369346963,0.0,0.0,0.0,0.0,"{""frwd"": -17.599707751038103}"
141,S1,G,frwd,10,-1.6986945791097388,0.7567567567567568,1.0,0.0,0.0,"{""frwd"": 9.59646393}"
142,G,G,frwd,10,10.87095758641143,0.0,1.0,1.0,0.0,"{""frwd"": 9.59646393}"
143,S,S1,,-1,10.87095758641143,0.0,0.0,0.0,0.0,"{""frwd"": -6.728750164626673}"
144,S1,P,frwd,-5,1.7460723429542693,0.26315789473684215,1.0,1.0,0.0,"{""frwd"": -18.994158170985884}"
145,P,E,frwd,-10,-4.609797656778186,0.0,1.0,0.0,0.0,"{""frwd"": -9.999540013463456}"
146,E,E,frwd,-10,-0.0016283523393678223,0.0,0.0016283523393678223,0.49918582383031607,0.0,"{""frwd"": -9.999540013463456}"
147,S,S1,,-1,-0.0016283523393678223,0.0,0.0,0.0,0.0,"{""frwd"": -11.338547821404859}"
148,S1,P,frwd,-5,-0.022394727262121883,0.2564102564102564,0.022394727262121883,0.48880263636893906,0.0,"{""frwd"": -18.99578652332525}"
149,P,E,frwd,-10,-3.2272980148763595,0.0,1.0,0.0,0.0,"{""frwd"": -9.99967800942442}"
150,E,E,frwd,-10,-0.0011771055470184422,0.0,0.0011771055470184422,0.4994114472264908,0.0,"{""frwd"": -9.99967800942442}"
151,S,S1,,-1,-0.0011771055470184422,0.0,0.0,0.0,0.0,"{""frwd"": -14.565845836281218}"
152,S1,P,frwd,-5,-0.8870467731001019,0.25,0.8870467731001019,0.05647661344994903,0.0,"{""frwd"": -18.99696362887227}"
153,P,E,frwd,-10,-2.2594264289111474,0.0,1.0,0.0,0.0,"{""frwd"": -9.999774606597093}"
154,E,E,frwd,-10,-0.0008500551195350425,0.0,0.0008500551195350425,0.49957497244023247,0.0,"{""frwd"": -9.999774606597093}"
155,S,S1,,-1,-0.0008500551195350425,0.0,0.0,0.0,0.0,"{""frwd"": -16.825272265192364}"
156,S1,P,frwd,-5,-1.23097787697608,0.24390243902439024,1.0,0.0,0.0,"{""frwd"": -18.997813683991804}"
157,P,E,frwd,-10,-1.5818280151200785,0.0,1.0,0.0,0.0,"{""frwd"": -9.999842224617964}"
158,E,E,frwd,-10,-0.0006132954493086373,0.0,0.0006132954493086373,0.49969335227534567,0.0,"{""frwd"": -9.999842224617964}"
159,S,S1,,-1,-0.0006132954493086373,0.0,0.0,0.0,0.0,"{""frwd"": -18.40710028031244}"
160,S1,P,frwd,-5,-1.2887780779656774,0.23809523809523814,1.0,0.0,0.0,"{""frwd"": -18.998426979441113}"
161,P,E,frwd,-10,-1.1074452003553688,0.0,1.0,0.0,0.0,"{""frwd"": -9.999889557232574}"
162,E,E,frwd,-10,-0.0004420866204611684,0.0,0.0004420866204611684,0.4997789566897694,0.0,"{""frwd"": -9.999889557232574}"
163,S,S1,,-1,-0.0004420866204611684,0.0,0.0,0.0,0.0,"{""frwd"": -19.51454548066781}"
164,S1,P,frwd,-5,-1.2011548586719232,0.2325581395348837,1.0,0.0,0.0,"{""frwd"": -18.998869066061573}"
165,P,E,frwd,-10,-0.7753310036362823,0.0,0.7753310036362823,0.11233449818185887,0.0,"{""frwd"": -9.999922690062801}"
166,E,E,frwd,-10,-0.00031840649848469127,0.0,0.00031840649848469127,0.49984079675075765,0.0,"{""frwd"": -9.999922690062801}"
167,S,S1,,-1,-0.00031840649848469127,0.0,0.0,0.0,0.0,"{""frwd"": -20.28987648430409}"
168,S1,P,frwd,-5,-1.0501477720521424,0.2272727272727273,1.0,0.0,0.0,"{""frwd"": -18.99918747256006}"
169,P,E,frwd,-10,-0.5428176722999886,0.0,0.5428176722999886,0.22859116385000572,0.0,"{""frwd"": -9.99994588304396}"
170,E,E,frwd,-10,-0.000229146653851231,0.0,0.000229146653851231,0.4998854266730744,0.0,"{""frwd"": -9.99994588304396}"
171,S,S1,,-1,-0.000229146653851231,0.0,0.0,0.0,0.0,"{""frwd"": -20.83269415660408}"
172,S1,P,frwd,-5,-0.8816642119574972,0.2222222222222222,0.8816642119574972,0.05916789402125139,0.0,"{""frwd"": -18.99941661921391}"
